Clock frequency is approx. 2108.1 MHz
Memory mountain (MB/sec)
x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
512m	13338	8381	6789	4710	3302	2622	2078	1897	1731	1635	1586	1485	1409	1494	1576	1303	1540	1280	1581	1398	1425	1452	1451	1497	1448	1453	1465	1470	1461	1384	1449	1439	
256m	13403	8271	7100	4418	3379	2634	2197	1884	1763	1661	1551	1525	1575	1526	1556	1508	1496	1521	1572	1559	1472	1448	1440	1487	1454	1435	1408	1434	1424	1432	1408	1340	
128m	13826	8654	6538	4765	3107	2399	1974	1819	1653	1656	1572	1615	1529	1530	1436	1447	1397	1542	1572	1565	1519	1475	1476	1549	1452	1466	1514	1482	1478	1461	1453	1431	
64m	13004	8328	6675	4890	3429	2644	2166	1882	1734	1605	1542	1425	1508	1497	1521	1537	1511	1410	1523	1436	1487	1470	1563	1514	1501	1473	1527	1512	1641	1742	1790	1378	
32m	13919	8946	6877	4997	3358	2621	2177	1783	1726	1631	1576	1552	1574	1566	1593	1528	3165	4624	5313	3148	4594	9529	10417	9543	9640	9606	9547	9464	9583	9503	9438	1438	
16m	19675	14113	7588	6004	4461	4031	3394	3144	3055	3349	3485	9901	5977	6821	7396	4886	7748	8425	10284	8575	8920	9578	10283	10730	10583	10513	10636	10517	10486	10611	10338	4736	
8m	37854	28900	21248	15986	13197	11098	9580	8375	8550	8670	8500	8310	8072	8070	8026	8038	8205	8451	8496	8612	8892	9537	10192	10608	10701	10640	10616	10641	10712	10689	10421	7096	
4m	38042	28423	21101	15957	13247	11073	9554	8371	8547	8629	8476	8324	8057	8064	8036	7933	8212	10471	10574	8580	8864	9496	10469	10598	10585	10518	10486	10521	10505	10547	10298	6737	
2m	37577	26770	20786	15689	13078	11049	9600	8400	8531	8588	8522	8316	8091	8052	8022	8171	8209	8555	8582	8780	9173	9957	10560	10183	10607	10569	10471	10412	10587	10347	10425	6725	
1024k	37512	28102	20979	16053	13303	11146	9693	8499	8677	8290	7996	8066	7972	8653	9122	8797	9664	9996	10199	10385	10466	10709	10732	10496	10885	10766	10926	11000	11036	10953	11081	6823	
512k	37384	32444	25229	19309	15897	13334	11561	10200	10279	10451	10483	10857	10921	11069	11100	10372	11200	11184	11193	11164	11246	11221	11183	11186	11226	11245	11163	11246	11143	11215	11159	9594	
256k	38377	36661	29880	22330	17928	14993	12853	11245	11231	11216	11277	11186	11245	11246	11215	11287	11202	11274	11243	11164	11141	11164	11123	11123	11163	11116	11093	11106	11143	11212	11155	10965	
128k	38254	36338	29239	22247	17798	15049	12899	11203	11274	11264	11279	11242	11245	11106	11212	11287	11287	11187	11143	11168	11245	11163	11364	11376	12278	11245	18949	11252	13231	27330	28295	10972	
64k	37903	35699	29239	21930	17803	14835	12899	11287	11370	11370	11163	11123	11245	12539	25584	11287	32769	34104	29436	34189	32561	34877	29732	31973	30696	29513	28424	36540	30332	25578	39438	10660	
32k	40947	39383	36547	34888	36163	34060	31327	31981	34104	38367	34877	31973	29513	31420	34104	23985	36270	34257	32450	38367	36540	28026	22236	31973	24657	39645	22831	27405	35523	33853	19895	19274	
16k	42641	40444	39426	34958	34189	31973	31221	31981	28420	30831	34877	31973	23716	36272	25578	31745	22557	28632	16225	19184	24542	23409	16677	31949	15342	19822	19067	13703	13211	25578	24735	16110	
