Time,X,Y,Z
0.000000000000000000e+00,5.154330000000000300e-01,-5.502340000000000009e-01,1.368449999999999944e+00
4.000000000000000083e-02,5.104550729589648617e-01,-5.449199733321363759e-01,1.355233841431757957e+00
8.000000000000000167e-02,4.958165601442395820e-01,-5.292930975595382392e-01,1.316369288984959196e+00
1.199999999999999956e-01,4.721866354074121808e-01,-5.040677278070321288e-01,1.253632967278526911e+00
1.600000000000000033e-01,4.403813794020301486e-01,-4.701150448533497617e-01,1.169191531474911283e+00
2.000000000000000111e-01,4.013421402930388848e-01,-4.284399547991686874e-01,1.065544215997052735e+00
2.400000000000000189e-01,3.561123404312887542e-01,-3.801563297749070980e-01,9.454612573568182965e-01
2.800000000000000266e-01,3.058132391455459231e-01,-3.264611342851743148e-01,8.119195455252615767e-01
3.200000000000000067e-01,2.516191615614717936e-01,-2.686079815274047267e-01,6.680368576299846595e-01
3.599999999999999867e-01,1.947326932746230033e-01,-2.078806532590440348e-01,5.170060009965556924e-01
3.999999999999999667e-01,1.363603213709881079e-01,-1.455670961487607884e-01,3.620301412213198233e-01
4.399999999999999467e-01,7.768897444740388569e-02,-8.293437782620202703e-02,2.062605170459589077e-01
4.799999999999999267e-01,1.986387881345479806e-02,-2.120504797916015344e-02,5.273764963103277914e-02
5.199999999999999067e-01,-3.603189405352932861e-02,3.846469510615286441e-02,-9.566295797427079584e-02
5.599999999999999423e-01,-8.899586139905191207e-02,9.500468305491879817e-02,-2.362797619312940745e-01
5.999999999999999778e-01,-1.381222691136829717e-01,1.474480070610501570e-01,-3.667080283346614289e-01
6.400000000000000133e-01,-1.826157176947635630e-01,1.949455638464369922e-01,-4.848360094898838124e-01
6.800000000000000488e-01,-2.218021116135285575e-01,2.367777443073266486e-01,-5.888740139601718049e-01
7.200000000000000844e-01,-2.551368276587607786e-01,2.723631533681207806e-01,-6.773760931287504672e-01
7.600000000000001199e-01,-2.822100557221473016e-01,3.012643113658225458e-01,-7.492542207289260014e-01
8.000000000000001554e-01,-3.027493219676476999e-01,3.231903475787283320e-01,-8.037849917382619003e-01
8.400000000000001910e-01,-3.166192583531967086e-01,3.379967541866990555e-01,-8.406090104697061527e-01
8.800000000000002265e-01,-3.238187331024548476e-01,3.456823229981320078e-01,-8.597232721111266462e-01
9.200000000000002620e-01,-3.244755031150230451e-01,3.463834368016630583e-01,-8.614669651298098030e-01
9.600000000000002975e-01,-3.188385907290349208e-01,3.403659314230943478e-01,-8.465012319411985287e-01
1.000000000000000222e+00,-3.072686231087925490e-01,3.280147828479032523e-01,-8.157835204444167099e-01
1.040000000000000258e+00,-2.902264023521509140e-01,3.098219056052549658e-01,-7.705372382032209533e-01
1.080000000000000293e+00,-2.682599978631290405e-01,2.863723736435597189e-01,-7.122174833116986514e-01
1.120000000000000329e+00,-2.419906694166146510e-01,2.583293929488051921e-01,-6.424736708033170762e-01
1.160000000000000364e+00,-2.120979395907406362e-01,2.264183660975753187e-01,-5.631099006717630306e-01
1.200000000000000400e+00,-1.793041379258892565e-01,1.914103928687408418e-01,-4.760439233512075430e-01
1.240000000000000435e+00,-1.443587364787949634e-01,1.541055481656650183e-01,-3.832655513605197628e-01
1.280000000000000471e+00,-1.080227876827886957e-01,1.153162691520556726e-01,-2.867953425654004018e-01
1.320000000000000506e+00,-7.105376101268931488e-02,7.585116811895249722e-02,-1.886443422478082110e-01
1.360000000000000542e+00,-3.419105538978972625e-02,3.649956671642193284e-02,-9.077561923306733116e-02
1.400000000000000577e+00,1.857559867300170864e-03,-1.982978575341701188e-03,4.931732738119365411e-03
1.440000000000000613e+00,3.642835078776464341e-02,-3.888791980209831828e-02,9.671553167049196098e-02
1.480000000000000648e+00,6.891267769844749980e-02,-7.356552316349089515e-02,1.829598682979953483e-01
1.520000000000000684e+00,9.876654764096445827e-02,-1.054350663901583163e-01,2.622204672950275706e-01
1.560000000000000719e+00,1.255185360075121714e-01,-1.339932952324695559e-01,3.332457188412075721e-01
1.600000000000000755e+00,1.487759896161470474e-01,-1.588210453549754875e-01,3.949931474900065242e-01
1.640000000000000790e+00,1.682294601523586230e-01,-1.795879751150448178e-01,4.466411827444017324e-01
1.680000000000000826e+00,1.836553531280763762e-01,-1.960553933742580635e-01,4.875961919165364700e-01
1.720000000000000862e+00,1.949168125714041133e-01,-2.080772039206142121e-01,5.174948289367152787e-01
1.760000000000000897e+00,2.019628949296145282e-01,-2.155990235951161238e-01,5.362018411053056655e-01
1.800000000000000933e+00,2.048261165733628320e-01,-2.186555642083989337e-01,5.438035578335465026e-01
1.840000000000000968e+00,2.036184873292913311e-01,-2.173663982654297222e-01,5.405973598620358311e-01
1.880000000000001004e+00,1.985261672142512313e-01,-2.119302549331654184e-01,5.270774931452624212e-01
1.920000000000001039e+00,1.898029046510101292e-01,-2.026180152177758098e-01,5.039176476276737704e-01
1.960000000000001075e+00,1.777624316504314572e-01,-1.897645936848114667e-01,4.719507668155373259e-01
2.000000000000000888e+00,1.627700045724432554e-01,-1.737599080693585096e-01,4.321465889012924277e-01
2.040000000000000924e+00,1.452332880372071977e-01,-1.550391476872155783e-01,3.855874439830512257e-01
2.080000000000000959e+00,1.255927843424344270e-01,-1.340725566657062773e-01,3.334428446246247568e-01
2.120000000000000995e+00,1.043120114273402704e-01,-1.113549487435051000e-01,2.769434088188835741e-01
2.160000000000001030e+00,8.186762915906144189e-02,-8.739516690376233909e-02,2.173546457497239626e-01
2.200000000000001066e+00,5.873970672450447295e-02,-6.270569363981530475e-02,1.559511161822157432e-01
2.240000000000001101e+00,3.540231347375153576e-02,-3.779260651125584958e-02,9.399145160118804743e-02
2.280000000000001137e+00,1.231460201967095672e-02,-1.314605919235201092e-02,3.269468026653048892e-02
2.320000000000001172e+00,-1.008746386198831196e-02,1.076854914341402944e-02,-2.678173481701404818e-02
2.360000000000001208e+00,-3.139860254416410035e-02,3.351857306824675836e-02,-8.336179028421047965e-02
2.400000000000001243e+00,-5.125081548606827408e-02,5.471116751966080549e-02,-1.360684675833914725e-01
2.440000000000001279e+00,-6.931900399124102385e-02,7.399928379074785512e-02,-1.840386452008580254e-01
2.480000000000001315e+00,-8.532553266267646486e-02,9.108654110061858988e-02,-2.265352144163056414e-01
2.520000000000001350e+00,-9.904369354164867245e-02,1.057309246249183293e-01,-2.629562764259741892e-01
2.560000000000001386e+00,-1.103000479912630144e-01,1.177472854986479772e-01,-2.928413599316378457e-01
2.600000000000001421e+00,-1.189756459802558952e-01,1.270086424235548073e-01,-3.158746582808651948e-01
2.640000000000001457e+00,-1.250061441199377676e-01,1.334463076746926213e-01,-3.318853428494660252e-01
2.680000000000001492e+00,-1.283808642242094122e-01,1.370488820963028098e-01,-3.408450635632940817e-01
2.720000000000001528e+00,-1.291408529561270946e-01,1.378601837396162544e-01,-3.428627973525406603e-01
2.760000000000001563e+00,-1.273760199964812656e-01,1.359761928063275838e-01,-3.381772501259809327e-01
2.800000000000001599e+00,-1.232214468712575783e-01,1.315411112555065487e-01,-3.271470568841582938e-01
2.840000000000001634e+00,-1.168529709085250334e-01,1.247426485981326938e-01,-3.102390573358147496e-01
2.880000000000001670e+00,-1.084821586177232150e-01,1.158066558890569198e-01,-2.880149504599496812e-01
2.920000000000001705e+00,-9.835079000622272416e-02,1.049912376357041849e-01,-2.611166506296946355e-01
2.960000000000001741e+00,-8.672497993393675497e-02,9.258047623836601625e-02,-2.302506800895473271e-01
3.000000000000001776e+00,-7.388906457352756307e-02,7.887790567649008433e-02,-1.961719377991779367e-01
3.040000000000001812e+00,-6.013938045815651889e-02,6.419987053024009405e-02,-1.596671831022929977e-01
3.080000000000001847e+00,-4.577806057417539015e-02,4.886890319783709913e-02,-1.215385646490042548e-01
3.120000000000001883e+00,-3.110696664862868527e-02,3.320724650331179084e-02,-8.258751090891702784e-02
3.160000000000001918e+00,-1.642186938476928801e-02,1.753064099322141842e-02,-4.359927897435251359e-02
3.200000000000001954e+00,-2.006979139417689947e-03,2.142486336339169059e-03,-5.328433769929460939e-03
3.240000000000001990e+00,1.187008133272285729e-02,-1.267152536222840124e-02,3.151449907119775740e-02
3.280000000000002025e+00,2.496278264643860684e-02,-2.664821954876878118e-02,6.627499580453517780e-02
3.320000000000002061e+00,3.704960689337810642e-02,-3.955112187106964855e-02,9.836493696221106087e-02
3.360000000000002096e+00,4.793732591556200406e-02,-5.117395779436584996e-02,1.272713110125872349e-01
3.400000000000002132e+00,5.746360201684164865e-02,-6.134342890760752925e-02,1.525631191249822993e-01
3.440000000000002167e+00,6.549888798070618856e-02,-6.992124122665004105e-02,1.738964196262121897e-01
3.480000000000002203e+00,7.194761772236088482e-02,-7.680537623676700343e-02,1.910174891249973861e-01
3.520000000000002238e+00,7.674869295164710170e-02,-8.193061041407241618e-02,2.037641145787744967e-01
3.560000000000002274e+00,7.987528460622526916e-02,-8.526830325187122195e-02,2.120650661082797428e-01
3.600000000000002309e+00,8.133398029963059828e-02,-8.682548714612166318e-02,2.159378335128512849e-01
3.640000000000002345e+00,8.116332041108702267e-02,-8.664330464497622952e-02,2.154847396587956376e-01
3.680000000000002380e+00,7.943177554758870662e-02,-8.479484935316888849e-02,2.108875707378024544e-01
3.720000000000002416e+00,7.623522678972106947e-02,-8.138247604909921995e-02,2.024008864399325647e-01
3.760000000000002451e+00,7.169401728022237186e-02,-7.653465320258084903e-02,1.903441920620531913e-01
3.800000000000002487e+00,6.594964925166309222e-02,-7.040243699246956366e-02,1.750931692740633761e-01
3.840000000000002522e+00,5.916120447429124712e-02,-6.315565007034307232e-02,1.570701725788682668e-01
3.880000000000002558e+00,5.150156832813204688e-02,-5.497885068953943521e-02,1.367342044041267302e-01
3.920000000000002593e+00,4.315353828836546862e-02,-4.606717844329031447e-02,1.145705833167718762e-01
3.960000000000002629e+00,3.430589661406147073e-02,-3.662216178929457444e-02,9.108051719915560840e-02
4.000000000000002665e+00,2.514952453018003131e-02,-2.684756986909851012e-02,6.677078658782967246e-02
