Time,X,Y,Z
0,0.515433,-0.550234,1.36845
0.04,0.510455,-0.54492,1.35523
0.08,0.495669,-0.529136,1.31598
0.12,0.471414,-0.503243,1.25158
0.16,0.438113,-0.467693,1.16317
0.2,0.396268,-0.423024,1.05207
0.24,0.346456,-0.369849,0.919825
0.28,0.289316,-0.308851,0.768121
0.32,0.225547,-0.240776,0.598817
0.36,0.155897,-0.166423,0.413899
0.4,0.0811566,-0.0866362,0.215467
0.44,0.00214916,-0.00229427,0.00570591
0.48,-0.0802768,0.085697,-0.213131
0.52,-0.165257,0.176415,-0.438749
0.56,-0.251919,0.268929,-0.668834
0.6,-0.339393,0.362309,-0.901073
0.64,-0.426818,0.455637,-1.13318
0.68,-0.51335,0.548011,-1.36292
0.72,-0.598172,0.63856,-1.58812
0.76,-0.680498,0.726444,-1.80669
0.8,-0.759583,0.81087,-2.01666
0.84,-0.834729,0.891089,-2.21617
0.88,-0.905288,0.966412,-2.4035
0.92,-0.970671,1.03621,-2.57709
0.96,-1.03035,1.09992,-2.73553
1,-1.08386,1.15704,-2.8776
1.04,-1.13081,1.20717,-3.00226
1.08,-1.17088,1.24994,-3.10864
1.12,-1.20382,1.2851,-3.19609
1.16,-1.22945,1.31246,-3.26414
1.2,-1.24768,1.33192,-3.31252
1.24,-1.25846,1.34343,-3.34116
1.28,-1.26186,1.34706,-3.35017
1.32,-1.25798,1.34291,-3.33986
1.36,-1.247,1.3312,-3.31072
1.4,-1.22918,1.31217,-3.26341
1.44,-1.20482,1.28617,-3.19874
1.48,-1.17429,1.25358,-3.11769
1.52,-1.13801,1.21485,-3.02136
1.56,-1.09644,1.17047,-2.911
1.6,-1.05009,1.12099,-2.78795
1.64,-0.999508,1.06699,-2.65365
1.68,-0.94526,1.00908,-2.50962
1.72,-0.887945,0.947898,-2.35745
1.76,-0.828179,0.884097,-2.19878
1.8,-0.766588,0.818347,-2.03526
1.84,-0.703803,0.751323,-1.86856
1.88,-0.640455,0.683698,-1.70038
1.92,-0.577166,0.616136,-1.53235
1.96,-0.514547,0.549289,-1.3661
2,-0.453189,0.483788,-1.20319
2.04,-0.393659,0.420238,-1.04515
2.08,-0.336496,0.359215,-0.89338
2.12,-0.282204,0.301258,-0.749237
2.16,-0.23125,0.246864,-0.613958
2.2,-0.18406,0.196488,-0.488671
2.24,-0.141014,0.150535,-0.374386
2.28,-0.102445,0.109362,-0.271987
2.32,-0.0686364,0.0732706,-0.182226
2.36,-0.0398186,0.0425071,-0.105717
2.4,-0.0161706,0.0172624,-0.0429322
2.44,0.00218267,-0.00233004,0.00579488
2.48,0.0151699,-0.0161941,0.0402753
2.52,0.0227729,-0.0243105,0.060461
2.56,0.025026,-0.0267158,0.0664429
2.6,0.0220145,-0.0235009,0.0584474
2.64,0.0138726,-0.0148093,0.0368311
2.68,0.00078165,-0.000834426,0.00207524
2.72,-0.017033,0.018183,-0.0452217
2.76,-0.0393047,0.0419585,-0.104352
2.8,-0.0657293,0.0701673,-0.174508
2.84,-0.0959686,0.102448,-0.254792
2.88,-0.129654,0.138408,-0.344226
2.92,-0.166392,0.177626,-0.441762
2.96,-0.205766,0.219659,-0.546298
3,-0.247343,0.264043,-0.656683
3.04,-0.290677,0.310304,-0.771734
3.08,-0.335316,0.357956,-0.890248
3.12,-0.380801,0.406513,-1.01101
3.16,-0.426677,0.455486,-1.13281
3.2,-0.472493,0.504395,-1.25445
3.24,-0.517807,0.552768,-1.37475
3.28,-0.562191,0.60015,-1.49259
3.32,-0.605237,0.646102,-1.60687
3.36,-0.646554,0.690209,-1.71657
3.4,-0.685779,0.732082,-1.82071
3.44,-0.722574,0.771361,-1.9184
3.48,-0.756632,0.807719,-2.00882
3.52,-0.78768,0.840863,-2.09125
3.56,-0.815478,0.870538,-2.16505
3.6,-0.839822,0.896525,-2.22969
3.64,-0.860546,0.918649,-2.28471
3.68,-0.877523,0.936772,-2.32978
3.72,-0.890663,0.950799,-2.36467
3.76,-0.899916,0.960678,-2.38923
3.8,-0.905271,0.966394,-2.40345
3.84,-0.906755,0.967978,-2.40739
3.88,-0.904429,0.965495,-2.40121
3.92,-0.898393,0.959051,-2.38519
3.96,-0.888779,0.948788,-2.35966
