Time,X,Y,Z
0,0.515433,-0.550234,1.36845
0.04,0.510455,-0.54492,1.35523
0.08,0.495817,-0.529294,1.31637
0.12,0.472187,-0.504068,1.25363
0.16,0.440381,-0.470115,1.16919
0.2,0.401342,-0.42844,1.06554
0.24,0.356112,-0.380157,0.945461
0.28,0.305813,-0.326461,0.81192
0.32,0.251619,-0.268608,0.668037
0.36,0.194733,-0.207881,0.517006
0.4,0.13636,-0.145567,0.36203
0.44,0.077689,-0.0829345,0.206261
0.48,0.0198639,-0.0212051,0.0527377
0.52,-0.0360319,0.0384647,-0.095663
0.56,-0.0889959,0.0950048,-0.23628
0.6,-0.138122,0.147448,-0.366708
0.64,-0.182616,0.194946,-0.484836
0.68,-0.221802,0.236778,-0.588874
0.72,-0.255137,0.272363,-0.677376
0.76,-0.28221,0.301265,-0.749254
0.8,-0.302749,0.323191,-0.803785
0.84,-0.316619,0.337997,-0.840609
0.88,-0.323819,0.345683,-0.859723
0.92,-0.324476,0.346384,-0.861467
0.96,-0.318839,0.340366,-0.846501
1,-0.307269,0.328015,-0.815784
1.04,-0.290226,0.309822,-0.770537
1.08,-0.26826,0.286373,-0.712218
1.12,-0.241991,0.25833,-0.642474
1.16,-0.212098,0.226419,-0.56311
1.2,-0.179304,0.191411,-0.476044
1.24,-0.144359,0.154106,-0.383266
1.28,-0.108023,0.115316,-0.286795
1.32,-0.0710538,0.0758512,-0.188644
1.36,-0.0341911,0.0364996,-0.0907756
1.4,0.00185756,-0.00198298,0.00493173
1.44,0.0364284,-0.038888,0.0967155
1.48,0.0689127,-0.0735656,0.18296
1.52,0.0987666,-0.105435,0.26222
1.56,0.125519,-0.133993,0.333246
1.6,0.148776,-0.158821,0.394993
1.64,0.168229,-0.179588,0.446641
1.68,0.183655,-0.196056,0.487596
1.72,0.194917,-0.208077,0.517495
1.76,0.201963,-0.215599,0.536202
1.8,0.204826,-0.218656,0.543804
1.84,0.203619,-0.217367,0.540597
1.88,0.198526,-0.21193,0.527078
1.92,0.189803,-0.202618,0.503918
1.96,0.177762,-0.189765,0.471951
2,0.16277,-0.17376,0.432147
2.04,0.145233,-0.155039,0.385587
2.08,0.125593,-0.134073,0.333443
2.12,0.104312,-0.111355,0.276943
2.16,0.0818676,-0.0873952,0.217355
2.2,0.0587397,-0.0627057,0.155951
2.24,0.0354023,-0.0377926,0.0939915
2.28,0.0123146,-0.0131461,0.0326947
2.32,-0.0100875,0.0107686,-0.0267817
2.36,-0.0313986,0.0335186,-0.0833618
2.4,-0.0512508,0.0547112,-0.136068
2.44,-0.069319,0.0739994,-0.184039
2.48,-0.0853255,0.0910866,-0.226535
2.52,-0.0990437,0.105731,-0.262956
2.56,-0.1103,0.117747,-0.292841
2.6,-0.118976,0.127009,-0.315875
2.64,-0.125006,0.133446,-0.331885
2.68,-0.128381,0.137049,-0.340845
2.72,-0.129141,0.13786,-0.342863
2.76,-0.127376,0.135976,-0.338177
2.8,-0.123221,0.131541,-0.327147
2.84,-0.116853,0.124743,-0.310239
2.88,-0.108482,0.115807,-0.288015
2.92,-0.0983508,0.104991,-0.261117
2.96,-0.086725,0.0925806,-0.230251
3,-0.0738891,0.078878,-0.196172
3.04,-0.0601394,0.0641999,-0.159667
3.08,-0.0457781,0.0488689,-0.121539
3.12,-0.031107,0.0332073,-0.0825875
3.16,-0.0164219,0.0175307,-0.0435993
3.2,-0.00200698,0.00214249,-0.00532843
3.24,0.0118701,-0.0126715,0.0315145
3.28,0.0249628,-0.0266482,0.066275
3.32,0.0370496,-0.0395512,0.0983649
3.36,0.0479373,-0.051174,0.127271
3.4,0.0574636,-0.0613435,0.152563
3.44,0.0654989,-0.0699213,0.173896
3.48,0.0719476,-0.0768054,0.191018
3.52,0.0767487,-0.0819307,0.203764
3.56,0.0798753,-0.0852684,0.212065
3.6,0.081334,-0.0868256,0.215938
3.64,0.0811633,-0.0866434,0.215485
3.68,0.0794318,-0.0847949,0.210888
3.72,0.0762352,-0.0813825,0.202401
3.76,0.071694,-0.0765347,0.190344
3.8,0.0659497,-0.0704025,0.175093
3.84,0.0591612,-0.0631557,0.15707
3.88,0.0515016,-0.0549789,0.136734
3.92,0.0431535,-0.0460672,0.114571
3.96,0.0343059,-0.0366222,0.0910805
