Time,X,Y,Z
0,-0.550234,0.515433,0.473861
0,1.36845,-0.916827,-0.124147
0,-2.01096,-0.492803,0.39258
0,-0.929185,0.0798318,-0.159516
0,0.0222218,-0.427793,-0.531817
0,-0.117476,0.222079,-0.767977
0,0.142465,-0.0346522,1.13434
0,-0.104746,-0.525123,1.91277
0,-2.02672,1.11942,0.779193
0,-1.1011,1.13023,0.373119
0,-0.386473,-1.15877,0.566113
0,-0.704453,-1.37794,-0.353117
0,-0.461466,0.0666573,-0.176286
0,1.20089,0.698399,-0.171629
0,-0.907187,1.18863,0.785532
0,2.65601,0.263486,1.64177
0,0.460816,0.0859235,-1.50996
0,0.721502,-0.84342,-0.513325
0,-0.0435368,-0.275301,-1.56307
0,-0.795631,0.930584,0.677767
0,0.69844,0.173602,0.662284
0,0.241122,-0.168205,1.16477
0,-0.245748,-0.769668,1.21217
0,1.2335,-1.57416,0.637953
0,-2.04442,1.06948,-0.933763
0,0.784208,-0.614876,0.332892
0,-1.38072,-0.280806,-0.0598173
0,0.961174,1.79428,0.58069
0,0.29765,-1.02812,-1.4186
0,0.190337,0.135754,0.60809
0,0.704981,0.360923,-1.46697
0,0.892629,-0.105257,-0.955346
0,-0.414765,-1.39874,-0.344081
0,0.750786,-0.327625,-0.861598
0,-0.258185,0.460956,-1.34939
0,-1.01907,0.127012,-1.24944
0,1.94512,-0.153336,-0.906987
0,-0.817354,-0.483123,-0.569828
0,-2.0916,1.26374,-0.0154833
0,-0.0273763,0.817874,-1.0546
0,-0.758327,0.457416,-0.0643781
0,0.344902,-0.0800873,-0.24138
0,1.43352,1.06579,-2.49876
0,1.48033,2.15873,1.23178
0,-0.214324,-0.689194,0.727833
0,-0.619069,0.35616,-0.0218809
0,1.21805,-0.389458,-0.442802
0,0.378227,1.93384,0.0809709
0,-0.416456,0.857503,0.718128
0,-0.951472,-0.53616,1.09653
0,0.428013,-2.4697,0.481979
0,0.926456,-0.837581,0.677186
0,1.87232,0.396374,-0.625616
0,-0.522461,0.0130339,0.37777
0,0.0628246,0.501596,-0.146945
0,0.180623,0.964811,-1.06483
0,0.108712,0.105764,0.920667
0,-0.226722,0.653048,1.10269
0,-1.8498,1.16863,-0.985382
0,-1.09394,-2.87946,-0.803178
0,-0.00485694,-0.383323,-0.462527
0,-1.1125,0.86723,0.958414
0,0.418119,-1.88653,2.27335
0,0.146975,0.539609,-1.4983
0,-0.0114435,0.413354,-0.140899
0,0.872162,1.30035,-1.34352
0,0.850121,0.39434,-0.00469599
0,-1.57081,1.47985,0.396774
0,-1.78325,-0.243134,0.327223
0,0.506575,-0.127605,0.341591
0,2.11889,1.54654,-0.949519
0,-0.596897,-0.111204,-1.74907
0,-1.3414,-1.62169,-1.14772
0,1.3896,-0.855241,-1.02706
0,0.882838,-0.449304,0.418639
0,-0.728179,-1.80189,0.467717
0,-1.55143,-0.510493,-0.732951
0,0.195346,-0.555945,-0.127735
0,-1.56056,2.00035,-1.20013
0,1.20138,0.149834,0.140907
0,0.35442,-1.88031,0.966392
0,-0.510944,1.2104,-0.151236
0,-0.374522,-1.29122,-0.765509
0,0.422314,-1.30791,-1.9906
0,-0.857549,0.840005,1.78129
0,-0.677416,-1.54883,-0.343129
0,0.183856,0.577897,2.13464
0,0.226849,1.65546,-0.462925
0,0.0865658,-0.592883,-0.680004
0,-0.263406,-0.280655,-0.603976
0,-0.549253,1.0968,2.11311
0,-0.498407,-0.324395,0.524609
0,3.18703,0.0841636,0.972633
0,1.54447,0.344068,0.926233
